iter	RMSE
143	134898.5008
144	134681.2344
145	134560.4054
146	134383.8597
147	134319.921
148	133968.1454
149	133776.7336
150	133688.1196
151	133530.1779
152	133288.462
153	133162.0237
154	133090.4665
155	133026.0408
156	132815.5661
157	132605.5978
158	132512.9385
159	132431.2471
160	132337.7594
161	132164.8508
162	132059.2578
163	131875.0489
164	131716.4731
165	131583.7417
166	131464.6679
167	131085.9417
168	131015.0152
169	130898.6362
170	130795.3479
171	130707.6034
172	130548.2809
173	130525.3625
174	130477.1863
175	130322.0807
176	130163.6071
177	130053.277
178	129857.3862
179	129671.3307
180	129465.3005
181	129331.9443
182	129208.8167
183	129177.2196
184	129072.6144
185	128982.3516
186	128906.7672
187	128811.0007
188	128457.1621
189	128292.9442
190	128190.0082
191	128105.4139
192	127977.5702
193	127691.59
194	127634.9242
195	127491.096
196	127349.3931
197	127337.2927
198	127315.0925
199	127132.604
200	127001.1592
201	126766.284
202	126746.3258
203	126546.6902
204	126526.4976
205	126439.355
206	126335.9712
207	125940.4391
208	125782.3207
209	125643.4629
210	125477.4888
211	125295.5214
212	125161.5045
213	124793.4265
214	124777.5151
215	124616.0284
216	124599.3138
217	124516.7478
218	124333.312
219	124134.9523
220	123916.8268
221	123647.2954
222	123468.1616
223	123337.0634
224	123181.4045
225	122888.5887
226	122712.8634
227	122678.8923
228	122550.6328
229	122422.588
230	122282.4506
231	122250.8818
232	121998.2036
233	121710.1215
234	121424.13
235	121320.537
236	121123.7294
237	121097.1776
238	120946.8395
239	120796.8991
240	120633.2594
241	120502.9115
242	120473.3457
243	120332.2037
244	120122.0376
245	119950.0597
246	119876.6856
247	119687.6817
248	119482.6162
249	119158.92
250	119032.0521
251	118917.956
252	118814.4156
253	118755.9325
254	118632.0771
255	118374.1902
256	118211.702
257	118083.7353
258	118075.3584
259	117909.0653
260	117643.8407
261	117469.509
262	117296.8546
263	117286.6946
264	117098.0318
265	116925.1631
266	116682.7518
267	116674.9648
268	116523.523
269	116510.8833
270	116450.0615
271	116148.686
272	116066.2881
273	115834.4925
274	115561.3419
275	115330.9794
276	114981.6647
277	114873.8676
278	114771.3775
279	114548.1633
280	114425.4695
281	114417.1129
282	114248.9719
283	114102.3325
284	114085.685
285	113928.4488
286	113772.568
287	113765.3082
288	113758.2946
289	113525.7392
290	113335.0082
291	113176.1514
292	113085.5306
293	112924.5494
294	112763.9679
295	112757.416
296	112614.2165
297	112596.6378
298	112495.8799
299	112354.9675
300	112248.8983
301	112237.2385
302	111873.9069
303	111814.6137
304	111646.698
305	111492.7481
306	111352.6938
307	111246.5941
308	111140.9853
309	111001.892
310	110811.3223
311	110588.5739
312	110405.1444
313	110185.2012
314	109901.0956
315	109844.9986
316	109760.1303
317	109644.8624
318	109384.9027
319	109301.243
320	109127.5524
321	108911.3536
322	108704.4489
323	108492.1659
324	108431.71
325	108305.759
326	108121.9425
327	108069.0783
328	107866.0514
329	107820.0737
330	107707.2147
331	107532.842
332	107247.6837
333	107241.742
334	107236.2163
335	107057.3795
336	106953.5058
337	106855.3834
338	106713.833
339	106671.1534
340	106538.4806
341	106455.5364
342	106294.9666
343	106167.4184
344	106115.9116
345	105956.4773
346	105849.15
347	105748.1551
348	105567.7799
349	105250.8737
350	105075.9326
351	104981.5299
352	104839.1022
353	104589.9525
354	104578.5878
355	104466.9194
356	104270.6053
357	104093.8408
358	103910.6026
359	103777.2868
360	103669.0928
361	103558.2535
362	103503.0531
363	103454.4511
364	103274.0788
365	103120.777
366	102980.8678
367	102878.6039
368	102873.7698
369	102787.2335
370	102610.4825
371	102422.6422
372	102358.3554
373	102319.2071
374	102313.7253
375	102186.3384
376	102043.2288
377	102006.8351
378	101997.6185
379	101913.255
380	101780.6273
381	101629.8736
382	101530.8637
383	101435.8652
384	101334.3675
385	101145.6782
386	100992.4066
387	100944.0275
388	100865.182
389	100753.1478
390	100699.4294
391	100581.4575
392	100480.0661
393	100268.2502
394	100115.529
395	100068.9415
396	99907.2201
397	99871.85235
398	99730.21697
399	99700.15614
400	99503.54418
401	99379.83726
402	99331.24825
403	99204.32964
404	99075.70903
405	98996.11079
406	98919.53661
407	98817.18637
408	98773.41357
409	98740.20147
410	98548.28738
411	98444.34915
412	98355.77994
413	98249.16735
414	98095.41262
415	97988.21236
416	97932.20678
417	97829.83092
418	97650.90417
419	97506.70561
420	97490.27151
421	97381.95576
422	97366.78831
423	97359.20874
424	97147.25094
425	97093.52578
426	96954.61007
427	96913.65238
428	96842.71041
429	96802.95315
430	96700.60615
431	96602.06929
432	96589.16114
433	96552.52075
434	96493.31046
435	96353.76491
436	96200.98805
437	96099.2142
438	96019.82542
439	95912.80351
440	95904.41148
441	95771.9997
442	95713.20705
443	95611.4577
444	95458.82334
445	95291.07476
446	95161.28079
447	95117.21035
448	95023.65193
449	94916.60048
450	94913.75369
451	94763.86376
452	94637.87644
453	94505.14136
454	94499.79102
455	94457.33466
456	94207.94666
457	94039.44569
458	93918.37961
459	93823.87585
460	93739.66992
461	93653.84899
462	93495.99726
463	93432.8355
464	93223.9469
465	93039.05983
466	93014.47376
467	92993.21203
468	92919.60738
469	92910.27328
470	92877.94791
471	92786.77305
472	92653.86424
473	92613.54914
474	92544.89841
475	92488.86252
476	92299.84858
477	92207.69222
478	92066.61867
479	91907.2852
480	91770.02173
481	91742.20108
482	91665.48103
483	91485.30478
484	91395.26728
485	91302.49653
486	91137.05038
487	91054.20705
488	90974.67565
489	90918.56
490	90808.30738
491	90678.10467
492	90598.07013
493	90565.09549
494	90371.79812
495	90260.18045
496	90248.25672
497	90220.01223
498	90097.61329
499	90069.41091
